park_id,name_en,latitude,longitude,district_en,height,remark_en
tdc14p6713,Kwai Hong Car Park,22.36372375,114.1304474,Kwai Tsing,0.0,"Height Limit: 1.8M
"
tdc25p35,Technology Park,22.3886776,114.20758057,Sha Tin,0.0,"Height Limit: 4.2(Applicable to Container Vehicles)
Operating Hours
Mon - Sat:  0700 - 2200
Sun & PH:  Closed"
tdc25p36,Technology Plaza,22.37427726,114.10905315,Tsuen Wan,0.0,"Height Limit: 2.2 (Applicable to Private Cars/Vans)
4 (Applicable to Container Vehicles)
Operating Hours
Mon - Sat:  0700 - 2200
Sun & PH:  0800 - 2000"
tdc25p37,Sunshine Plaza,22.31189919,114.18917084,Kowloon City,0.0,"Height Limit: 2.26 (Applicable to Private Cars/Vans)
3.75 (Applicable to Container Vehicles)
Operating Hours
Mon - Sun & PH: 0000 - 2400"
tdc25p38,Jumbo Court,22.24601364,114.16464233,Southern,0.0,"Height Limit: 
Operating Hours
Mon - Sun & PH: 0000 - 2400"
tdc25p39,Sunley Centre,22.36162715,114.11609452,Tsuen Wan,0.0,"Height Limit: 4.7 (Applicable to Private Cars/Vans/Container Vehicles)
Operating Hours
Mon - Sat:  0700 - 1900
Sun & PH:  Closed"
tdc25p40,Chai Wan Industrial City Phase I,22.2678318,114.24260712,Eastern,0.0,"Height Limit: 3.8 (Applicable to Container Vehicles)
Operating Hours
Mon - Sun & PH: 0000 - 2400"
tdc25p41,Chai Wan Industrial City Phase II,22.26823807,114.24238586,Eastern,0.0,"Height Limit: 3.8 (Applicable to Container Vehicles)
Operating Hours
Mon - Sun & PH: 0000 - 2400"
tdc25p42,Cornell Centre,22.26745987,114.24284363,Eastern,0.0,"Height Limit: 4.42 (Applicable to Container Vehicles)
Operating Hours
Mon - Sun & PH: 0000 - 2400"
tdstt2p2,Value Parking Shan Mei Street,22.397891278542,114.19250685444,Sha Tin,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt3p1,Skye Parking Ho Tin Street,22.3983,113.9707,Tuen Mun,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt5p1,Skye Parking Ma Wo Road,22.4421,114.1635,Tai Po,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt7p1,Treasure Top Carpark (Tai Po Yee Nga Court),22.4547138,114.1725464,Tai Po,0.0,"Height Limit: 
"
tdstt4p1,Ngau Pei Sha Street,22.38232836,114.2058283,Sha Tin,0.0,"Height Limit: 
"
tdstt10,Sha Tau Kok Road,22.49414982,114.139612634,North,0.0,"Height Limit: 
"
tdstt11,On Chun Street,22.42554166,114.2267528,Sha Tin,0.0,"Height Limit: 
"
tdstt9p1,Shing Hong Lane,22.27917047,114.23856157,Eastern,0.0,"Height Limit: 2.45
"
tdstt15,San On Street,22.3934536,113.97033691,Tuen Mun,0.0,"Height Limit: 
"
tdstt12,Ping Ha Road,22.445961651,113.996367124,Yuen Long,0.0,"Height Limit: 3.8
"
tdstt17,Hoi Wah Road,22.37989616,113.97042084,Tuen Mun,0.0,"Height Limit: 
24 hrs"
tdstt16,Tsing Yin Street,22.39818382,113.97418213,Tuen Mun,0.0,"Height Limit: 2.45
"
tdstt19,Junction of Hoi Wang Road and Lai Cheung Road,22.31217384,114.16407776,Yau Tsim Mong,0.0,"Height Limit: 
"
tdstt34,HEI TUNG STREET,22.29433922,113.95276086,Islands,0.0,"Height Limit: 
"
tdstt32,Junction of Tai Chung Kiu Road and On Sum Street,22.3928544,114.208165,Sha Tin,0.0,"Height Limit: 
"
tdstt23,On Pong Road,22.453491947,114.171640876,Tai Po,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt24,Wo Hing Road,22.485867345,114.146615066,North,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt22,Sheung Fung Street,22.34658241,114.1974411,Wong Tai Sin,0.0,"Height Limit: 3.5 (Applicable to Private Cars/Vans/Container Vehicles)
"
tdstt25,Wing Lai Road,22.32606316,114.2492065,Sai Kung,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt26,Castle Peak Road - Castle Peak Bay,22.38314629,113.97858429,Tuen Mun,0.0,"Height Limit: 
"
tdstt27,Sam Shing Street 1,22.38008308,113.97774506,Tuen Mun,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt28,Sam Shing Street 4,22.38125801,113.97698212,Tuen Mun,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt29,Wan Po Road,22.29268456,114.27423859,Sai Kung,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt30,Hoi Ting Road,22.31401294,114.16276657,Yau Tsim Mong,0.0,"Height Limit: 
$8 per 30 min"
tdstt31,Choi Hing Road,22.33160342,114.2170853,Kwun Tong,0.0,"Height Limit: 
hourly $10"
tdstt40,To Lok Road,22.32197762,114.25453186,Sai Kung,0.0,"Height Limit: 2.45
"
tdstt39,"Junction of Luen Fat Street, Luen Fu Street and Lu",22.49797821,114.14189911,North,0.0,"Height Limit: 2.45
"
tdstt38,Man Lai Road,22.37662315,114.18343353,Sha Tin,0.0,"Height Limit: 2.45
"
tdstt37,Mei Fuk Street,22.38491821,114.2730331,Sai Kung,0.0,"Height Limit: 2.45
"
tdstt42,"Po Lam Road North, Area 10",22.32761765,114.25447083,Sai Kung,0.0,"Height Limit: 2.45
"
tdstt43,Yuen Ching Road,22.44353676,114.03808594,Yuen Long,0.0,"Height Limit: 2.45
"
tdstt35,Cape Road,22.21948242,114.20661163,Southern,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt21,Tuen Yee Street,22.38224602,113.9687347,Tuen Mun,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt36,Tuen Yee Street,22.38330847,113.968822,Tuen Mun,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdstt33,Junction of Oi Yee Street and Hing Man Street,22.28222847,114.2232132,Eastern,0.0,"Height Limit: 
"
tdstt41,Mei Yu Street,22.38482666,114.2720108,Sai Kung,0.0,"Height Limit: 2.45
"
tdstt46,Junction of Hoi Shing Road and Hoi Kok Street,22.37155342,114.10810852,Tsuen Wan,0.0,"Height Limit: 
"
tdstt44,Hong Kin Road,22.37711143,114.27326965,Sai Kung,0.0,"Height Limit: 
"
tdc5p4,Panda Place,22.36891824,114.12042744,Tsuen Wan,0.0,"Height Limit: 1.9
<u>Provision of Electric Charging Services (Total: 20)</u><br>
Super Charger for Tesla : 4 nos. (7/F)<br>
EV Charging Station: 6 nos.<br>
(7/F available for charging and hourly parking)"
tdc65p2,Yuen Long Swimming Pool,22.44135475,114.02108765,Yuen Long,0.0,"Height Limit: 
"
tdc65p4,Tin Shui Wai Swimming Pool,22.45504189,114.0065155,Yuen Long,0.0,"Height Limit: 
"
tdc65p3,Tin Shui Wai Sports Ground,22.45455742,114.00469208,Yuen Long,0.0,"Height Limit: 
"
tdc65p1,Fung Kam Street Sports Centre,22.44305229,114.03305817,Yuen Long,0.0,"Height Limit: 
"
tdc65p5,Tin Yip Road Park,22.46386909,114.00669098,Yuen Long,0.0,"Height Limit: 
"
tdc58p5,Ap Lei Chau Waterfront Promenade,22.24489021,114.15533447,Southern,0.0,"Height Limit: 2.45
"
tdc53p1,Jordan Valley Park,22.33004761,114.22187042,Kwun Tong,0.0,"Height Limit: 2.45
"
tdc67p2,Wo Hing Sports Centre,22.48474503,114.14312744,North,0.0,"Height Limit: 2.45
"
tdc69p2,Po Wing Road Sports Centre,22.49693108,114.1283493,North,0.0,"Height Limit: 2.45
"
tdc69p3,Sheung Shui Swimming Pool,22.50596809,114.13158417,North,0.0,"Height Limit: 2.45
"
tdc67p1,North District Sports Ground,22.50621223,114.13047028,North,0.0,"Height Limit: 2.45
"
tdc69p1,Fanling Swimming Pool,22.49478149,114.1364212,North,0.0,"Height Limit: 2.45
"
tdc53p2,Jordan Valley Swimming Pool,22.32359314,114.21828461,Kwun Tong,0.0,"Height Limit: 2.45
"
tdc58p3,Shek Kip Mei Park,22.33865166,114.16990662,Sham Shui Po,0.0,"Height Limit: 2.45
"
tdc64p1,Ho Man Tin Park,22.31189537,114.18120575,Kowloon City,0.0,"Height Limit: 2.45
"
tdc58p4,Cornwall Street Park,22.33918571,114.17272186,Sham Shui Po,0.0,"Height Limit: 2.45
"
tdc63p3,Siu Lek Yuen Road Playground,22.38702774,114.2060318,Sha Tin,0.0,"Height Limit: 2.45
"
tdc63p2,Ma On Shan Swimming Pool,22.42710876,114.22887421,Sha Tin,0.0,"Height Limit: 2.45
"
tdc63p1,Ma On Shan Sports Ground,22.42095757,114.22808838,Sha Tin,0.0,"Height Limit: 2.45
"
tdc55p1,North Point Government Offices,22.29232597,114.20836639,Eastern,0.0,"Height Limit: 2.45
"
tdc59p1,Yuen Long District Office Building,22.44510841,114.02271271,Yuen Long,0.0,"Height Limit: 2.45
"
tdc8p16,The LOHAS,22.293984977,114.270114,Sai Kung,0.0,"Height Limit: 2.45
"
tdstt47,Junction of Fat Kwong Street & Sheung Shing Street,22.31742246,114.1805973,Kowloon City,0.0,"Height Limit: 2.45 (Applicable to Private Cars/Vans)
"
tdc25p43,Tuen Mun Town Plaza Phase 2,22.393878121,113.976451912,Tuen Mun,0.0,"Height Limit: 1.8 (Applicable to Private Cars/Vans) 
3 (Applicable to Container Vehicles)
Operating Hours
Mon - Sun & PH: 0000 - 2400"
tdc25p44,Hewlett Centre,22.309622053,114.224255594,Kwun Tong,0.0,"Height Limit: 3.5 (Applicable to Private Cars/Vans)
4 (Applicable to Container Vehicles)
Operating Hours
Mon - Sun & PH: 0000 - 2400"
